a white porcelain urinal in a bathroom, white tile wall, wall mounted, dirty, front perspective, close-up viewpoint, <lora:dirtyStyle_LoRA_v1-000008:0.8>
a silver metal urinal in a bathroom, white wall, wall mounted, dirty, side perspective, close-up viewpoint, <lora:dirtyStyle_LoRA_v1-000008:0.8>
a silver metal urinal in a bathroom, white wall, wall mounted, dirty, side perspective, medium-shot viewpoint, <lora:dirtyStyle_LoRA_v1-000008:0.8>
a silver metal urinal in a bathroom, white wall, wall mounted, dirty, side perspective, wide-shot viewpoint, <lora:dirtyStyle_LoRA_v1-000008:0.8>
a silver metal urinal in a bathroom, white wall, wall mounted, dirty, top perspective, close-up viewpoint, <lora:dirtyStyle_LoRA_v1-000008:0.8>
a silver metal urinal in a bathroom, white wall, wall mounted, dirty, top perspective, medium-shot viewpoint, <lora:dirtyStyle_LoRA_v1-000008:0.8>
a silver metal urinal in a bathroom, white wall, wall mounted, dirty, top perspective, wide-shot viewpoint, <lora:dirtyStyle_LoRA_v1-000008:0.8>
a silver metal urinal in a bathroom, gray wall, wall mounted, dirty, front perspective, close-up viewpoint, <lora:dirtyStyle_LoRA_v1-000008:0.8>
a silver metal urinal in a bathroom, gray wall, wall mounted, dirty, front perspective, medium-shot viewpoint, <lora:dirtyStyle_LoRA_v1-000008:0.8>
a silver metal urinal in a bathroom, gray wall, wall mounted, dirty, front perspective, wide-shot viewpoint, <lora:dirtyStyle_LoRA_v1-000008:0.8>
a silver metal urinal in a bathroom, gray wall, wall mounted, dirty, side perspective, close-up viewpoint, <lora:dirtyStyle_LoRA_v1-000008:0.8>
a silver metal urinal in a bathroom, gray wall, wall mounted, dirty, side perspective, medium-shot viewpoint, <lora:dirtyStyle_LoRA_v1-000008:0.8>
a silver metal urinal in a bathroom, gray wall, wall mounted, dirty, side perspective, wide-shot viewpoint, <lora:dirtyStyle_LoRA_v1-000008:0.8>
a silver metal urinal in a bathroom, gray wall, wall mounted, dirty, top perspective, close-up viewpoint, <lora:dirtyStyle_LoRA_v1-000008:0.8>
a silver metal urinal in a bathroom, gray wall, wall mounted, dirty, top perspective, medium-shot viewpoint, <lora:dirtyStyle_LoRA_v1-000008:0.8>
a silver metal urinal in a bathroom, gray wall, wall mounted, dirty, top perspective, wide-shot viewpoint, <lora:dirtyStyle_LoRA_v1-000008:0.8>
